Landing Page,Month,Bounce rate,Avg session duration in mins,Percentage of new sessions,Conversion rate,New Users,Pages per visit,Sessions,Bounces,Pageviews,Transactions
/content1,Jan,35.69%,7,36.10%,0.77%,797,5.79,"2,208",788,"12,784",17
/content1,Mar,35.75%,7,38.11%,1.06%,614,5.86,"1,611",576,"9,440",17
/content1,April,34.49%,7,37.79%,1.10%,619,6,"1,638",565,"9,828",18
/content1,Sept,36.84%,6,44.23%,0.65%,610,5.13,"1,379",508,"7,074",9
/content1,July,36.85%,6,37.40%,0.41%,738,5.4,"1,973",727,"10,654",8
/content1,May,34.73%,7,40.62%,0.61%,669,6.06,"1,647",572,"9,981",10
/content1,Feb,37.04%,6,35.94%,0.52%,624,5.51,"1,736",643,"9,565",9
/content1,Oct,42.12%,5,44.15%,0.92%,434,4.51,983,414,"4,433",9
/content1,Aug,30.23%,5,49.28%,0.55%,895,5.4,"1,816",549,"9,806",10
/content1,June,33.84%,6,43.45%,0.79%,766,5.85,"1,764",597,"10,319",14
/content10,May,65.06%,3,18.67%,0.09%,849,4,"4,548","2,959","18,192",4
/content10,Sept,64.25%,3,21.49%,0.37%,993,3.61,"4,621","2,969","16,682",17
/content10,Aug,65.61%,3,20.19%,0.15%,1086,3.76,"5,380","3,530","20,229",8
/content10,June,65.55%,3,18.97%,0.12%,784,3.8,"4,133","2,709","15,705",5
/content10,July,65.95%,3,20.31%,0.12%,1037,3.74,"5,105","3,367","19,093",6
/content10,Feb,65.72%,3,14.40%,0.74%,234,4.05,"1,625","1,068","6,581",12
/content10,Mar,65.31%,3,17.41%,0.43%,403,3.87,"2,315","1,512","8,959",10
/content10,Oct,62.50%,3,23.32%,0.45%,1043,3.74,"4,472","2,795","16,725",20
/content10,Jan,66.18%,3,13.15%,0.41%,191,3.78,"1,452",961,"5,489",6
/content10,April,64.51%,3,19.41%,0.38%,565,4.06,"2,911","1,878","11,819",11
/content11,Aug,31.95%,4,61.28%,0.13%,1939,4.58,"3,164","1,011","14,491",4
/content11,May,60.30%,3,25.72%,0.33%,773,3.97,"3,006","1,799","11,880",10
/content11,June,26.44%,4,58.97%,0.00%,582,4.99,987,261,"4,925",0
/content11,April,53.88%,3,30.02%,0.33%,785,4.14,"2,615","1,459","10,612",9
/content11,Oct,34.03%,4,62.42%,0.07%,3738,4.12,"5,988","2,038","24,671",4
/content11,Jan,31.30%,4,59.28%,0.09%,4499,4.55,"7,590","2,376","34,535",7
/content11,Sept,31.65%,4,63.03%,0.08%,2416,4.49,"3,833","1,213","17,210",3
/content11,Feb,31.15%,4,52.84%,0.06%,855,4.81,"1,618",504,"7,783",1
/content11,July,30.38%,4,60.12%,0.18%,1304,4.52,"2,169",659,"9,804",4
/content11,Mar,34.12%,4,57.17%,0.11%,2026,4.52,"3,543","1,216","15,648",4
/content12,Mar,38.20%,6,47.69%,1.02%,1818,6.01,"3,812","1,456","22,910",39
/content12,Sept,38.59%,4,49.98%,0.85%,1237,5.16,"2,475",955,"12,771",21
/content12,Oct,41.17%,4,54.09%,0.83%,1231,4.8,"2,276",937,"10,925",19
/content12,Feb,41.48%,5,45.67%,1.26%,1635,5.26,"3,580","1,485","18,831",45
/content12,Jan,39.24%,5,48.31%,0.96%,2323,5.39,"4,809","1,887","25,921",46
/content12,April,36.48%,5,48.41%,1.19%,1753,6,"3,621","1,321","21,726",43
/content12,May,36.35%,5,45.02%,1.17%,1854,5.71,"4,118","1,497","23,514",48
/content12,June,37.25%,5,45.22%,0.96%,1514,5.38,"3,348","1,247","18,012",32
/content12,July,40.21%,4,47.40%,0.95%,1688,5.15,"3,561","1,432","18,339",34
/content12,Aug,37.41%,5,48.28%,0.69%,1461,5.33,"3,026","1,132","16,129",21
/content14,July,19.55%,5,43.22%,0.47%,555,6.45,"1,284",251,"8,282",6
/content14,Sept,21.62%,5,48.84%,0.42%,463,5.89,948,205,"5,584",4
/content14,Oct,22.49%,5,44.64%,0.35%,387,5.68,867,195,"4,925",3
/content14,April,19.37%,6,45.75%,0.57%,404,6.74,883,171,"5,951",5
/content14,Aug,17.45%,6,45.74%,0.60%,532,6.36,"1,163",203,"7,397",7
