Landing Page,Month of Year,Sessions,New Users,Bounces,Pageviews,Avg. Session Duration,Transactions
/content1,201710,983,434,414,"4,433",0:05:22,9
/content1,201709,"1,379",610,508,"7,074",0:06:01,9
/content1,201703,"1,611",614,576,"9,440",0:07:31,17
/content1,201704,"1,638",619,565,"9,828",0:07:28,18
/content1,201705,"1,647",669,572,"9,981",0:07:48,10
/content1,201702,"1,736",624,643,"9,565",0:06:55,9
/content1,201706,"1,764",Null,597,"10,319",0:06:51,14
/content1,201708,"1,816",895,549,"9,806",0:05:58,10
/content1,201707,"1,973",738,727,"10,654",0:06:52,8
/content1,201701,"2,208",797,788,"12,784",0:07:16,17
/content10,201701,"1,452",191,961,"5,489",0:03:40,6
/content10,201702,"1,625",234,"1,068","6,581",0:03:56,12
/content10,201703,"2,315",403,"1,512","8,959",0:03:27,10
/content10,201704,"2,911",565,"1,878","11,819",0:03:38,11
/content10,201706,"4,133",784,"2,709","15,705",0:03:19,5
/content10,201710,"4,472","1,043","2,795","16,725",0:03:37,20
/content10,201705,"4,548",849,"2,959","18,192",0:03:20,4
/content10,201709,"4,621",993,"2,969","16,682",0:03:20,17
/content10,201707,"5,105","1,037","3,367","19,093",0:03:21,6
/content10,201708,"5,380","1,086","3,530","20,229",0:03:20,8
/content11,201706,987,582,261,"4,925",0:04:53,0
/content11,201702,"1,618",855,504,"7,783",0:04:18,1
/content11,201707,"2,169","1,304",659,"9,804",0:04:09,4
/content11,201708,"3,164","1,939","1,011","14,491",0:04:30,4
/content11,201709,"3,833","2,416","1,213","17,210",0:04:27,3
/content11,201710,"5,988","3,738","2,038","24,671",0:04:01,4
/content11,201701,"7,590","4,499","2,376","34,535",0:04:18,7
/content12,201710,"2,276","1,231",937,"10,925",0:04:33,19
/content12,201709,"2,475","1,237",955,"12,771",0:04:51,21
/content12,201708,"3,026","1,461","1,132","16,129",0:05:04,21
/content12,201706,"3,348","1,514","1,247","18,012",0:05:17,32
/content12,201707,"3,561","1,688","1,432","18,339",0:04:57,34
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201702,"3,580","1,635","1,485","18,831",0:05:22,45
/content12,201704,"3,621","1,753","1,321","21,726",0:05:33,43
/content12,201703,"3,812","1,818","1,456","22,910",0:06:01,39
/content12,201705,"4,118","1,854","1,497","23,514",0:05:34,48
/content12,201701,"4,809","2,323","1,887","25,921",0:05:22,46
/content13,201705,913,268,369,"3,935",0:03:53,3
/content14,201710,867,387,195,"4,925",0:05:31,3
/content14,201703,877,422,142,"6,472",0:07:00,4
/content14,201704,883,404,171,"5,951",0:06:32,5
/content14,201709,948,463,205,"5,584",0:05:31,4
/content14,201706,"1,015",482,176,"6,415",0:06:11,5
/content14,201705,"1,070",511,160,"7,223",0:06:15,4
/content14,201708,"1,163",532,203,"7,397",0:06:25,7
/content14,201701,"1,260",598,301,"8,669",0:06:33,1
/content14,201707,"1,284",555,251,"8,282",0:05:42,6
/content15,201705,829,506,201,"4,344",0:04:54,0
/content15,201706,"1,309",736,276,"6,597",0:05:06,1
